Gene name,GO term name
INPP5B,signal transduction
INPP5B,catalytic activity
INPP5B,cytoplasm
INPP5B,membrane
INPP5B,Golgi apparatus
INPP5B,cytoplasmic vesicle
INPP5B,metal ion binding
INPP5B,cytosol
INPP5B,lipid metabolic process
INPP5B,endosome
INPP5B,hydrolase activity
INPP5B,organophosphate metabolic process
INPP5B,phosphatase activity
INPP5B,phagocytic vesicle membrane
INPP5B,early endosome membrane
INPP5B,endoplasmic reticulum-Golgi intermediate compartment
INPP5B,phosphatidylinositol dephosphorylation
INPP5B,plasma membrane
INPP5B,protein binding
INPP5B,"inositol-1,4,5-trisphosphate 5-phosphatase activity"
INPP5B,"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity"
INPP5B,inositol phosphate phosphatase activity
INPP5B,inositol phosphate dephosphorylation
INPP5B,inositol phosphate metabolic process
INPP5B,"inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity"
INPP5B,in utero embryonic development
INPP5B,spermatogenesis
INPP5B,flagellated sperm motility
INPP5B,regulation of protein processing
INPP5B,integral component of membrane
INPP5B,
INS,extracellular region
INS,hormone activity
INS,protein binding
INS,negative regulation of gene expression
INS,positive regulation of gene expression
INS,extracellular space
INS,signal transduction
INS,carbohydrate metabolic process
INS,glucose metabolic process
INS,identical protein binding
INS,cell-cell signaling
INS,positive regulation of cytokine production
INS,positive regulation of cell population proliferation
INS,positive regulation of phosphatidylinositol 3-kinase signaling
INS,positive regulation of protein kinase B signaling
INS,positive regulation of cell migration
INS,endosome lumen
INS,Golgi membrane
INS,protease binding
INS,secretory granule lumen
INS,endoplasmic reticulum lumen
INS,transport vesicle
INS,positive regulation of NF-kappaB transcription factor activity
INS,Golgi lumen
INS,insulin receptor signaling pathway
INS,wound healing
INS,negative regulation of protein catabolic process
INS,endoplasmic reticulum-Golgi intermediate compartment membrane
INS,positive regulation of cell growth
INS,positive regulation of mitotic nuclear division
INS,positive regulation of insulin receptor signaling pathway
INS,regulation of synaptic plasticity
INS,positive regulation of protein metabolic process
INS,activation of protein kinase B activity
INS,positive regulation of glucose import
INS,negative regulation of lipid catabolic process
INS,insulin receptor binding
INS,positive regulation of protein autophosphorylation
INS,"regulation of transcription, DNA-templated"
INS,negative regulation of fatty acid metabolic process
INS,glucose homeostasis
INS,G protein-coupled receptor signaling pathway
INS,positive regulation of nitric oxide mediated signal transduction
INS,negative regulation of proteolysis
INS,positive regulation of protein localization to nucleus
INS,vasodilation
INS,positive regulation of MAPK cascade
INS,regulation of protein localization
INS,insulin-like growth factor receptor binding
INS,negative regulation of acute inflammatory response
INS,regulation of cellular amino acid metabolic process
INS,acute-phase response
INS,regulation of transmembrane transporter activity
INS,negative regulation of NAD(P)H oxidase activity
INS,nitric oxide-cGMP-mediated signaling pathway
INS,positive regulation of cell differentiation
INS,negative regulation of gluconeogenesis
INS,positive regulation of glycogen biosynthetic process
INS,negative regulation of glycogen catabolic process
INS,positive regulation of glycolytic process
INS,alpha-beta T cell activation
INS,positive regulation of lipid biosynthetic process
INS,regulation of protein secretion
INS,negative regulation of protein secretion
INS,positive regulation of protein secretion
INS,cognition
INS,positive regulation of nitric-oxide synthase activity
INS,fatty acid homeostasis
INS,negative regulation of respiratory burst involved in inflammatory response
INS,positive regulation of respiratory burst
INS,positive regulation of peptide hormone secretion
INS,positive regulation of brown fat cell differentiation
INS,positive regulation of long-term synaptic potentiation
INS,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
INS,positive regulation of dendritic spine maintenance
INS,regulation of protein localization to plasma membrane
INS,negative regulation of reactive oxygen species biosynthetic process
INS,neuron projection maintenance
INS,negative regulation of feeding behavior
INS,response to L-arginine
INS-IGF2,signal transduction
INS-IGF2,extracellular region
INS-IGF2,hormone activity
INS-IGF2,extracellular space
IRF1,"regulation of transcription, DNA-templated"
IRF1,DNA-binding transcription factor activity
IRF1,apoptotic process
IRF1,negative regulation of cell population proliferation
IRF1,transcription cis-regulatory region binding
IRF1,regulation of immune response
IRF1,
IRF1,nucleus
IRF1,cytoplasm
IRF1,DNA binding
IRF1,protein binding
IRF1,"DNA-binding transcription factor activity, RNA polymerase II-specific"
IRF1,"positive regulation of transcription, DNA-templated"
IRF1,immune system process
IRF1,innate immune response
IRF1,defense response to virus
IRF1,regulation of innate immune response
IRF1,positive regulation of transcription by RNA polymerase II
IRF1,regulation of cell cycle
IRF1,regulation of transcription by RNA polymerase II
IRF1,RNA polymerase II cis-regulatory region sequence-specific DNA binding
IRF1,chromatin
IRF1,nucleoplasm
IRF1,cytosol
IRF1,"DNA-binding transcription activator activity, RNA polymerase II-specific"
IRF1,cellular response to mechanical stimulus
IRF1,"negative regulation of transcription, DNA-templated"
IRF1,positive regulation of interferon-beta production
IRF1,RNA polymerase II transcription regulatory region sequence-specific DNA binding
IRF1,positive regulation of type I interferon production
IRF1,cellular response to interferon-beta
IRF1,interferon-gamma-mediated signaling pathway
IRF1,sequence-specific DNA binding
IRF1,regulation of adaptive immune response
IRF1,transcription by RNA polymerase II
IRF1,regulation of gene expression
IRF1,positive regulation of interleukin-12 production
IRF1,regulation of MyD88-dependent toll-like receptor signaling pathway
IRF1,"CD8-positive, alpha-beta T cell differentiation"
IRF1,negative regulation of regulatory T cell differentiation
IRF1,"regulation of CD8-positive, alpha-beta T cell proliferation"
IRF4,"regulation of transcription, DNA-templated"
IRF4,DNA-binding transcription factor activity
IRF4,transcription cis-regulatory region binding
IRF4,
IRF4,nucleus
IRF4,membrane
IRF4,nucleoplasm
IRF4,cytosol
IRF4,DNA binding
IRF4,sequence-specific DNA binding
IRF4,protein binding
IRF4,sequence-specific double-stranded DNA binding
IRF4,"positive regulation of transcription, DNA-templated"
IRF4,positive regulation of transcription by RNA polymerase II
IRF4,regulation of transcription by RNA polymerase II
IRF4,"DNA-binding transcription factor activity, RNA polymerase II-specific"
IRF4,RNA polymerase II cis-regulatory region sequence-specific DNA binding
IRF4,chromatin
IRF4,positive regulation of interleukin-10 production
IRF4,"DNA-binding transcription activator activity, RNA polymerase II-specific"
IRF4,positive regulation of interleukin-13 production
IRF4,positive regulation of interleukin-4 production
IRF4,T cell activation
IRF4,positive regulation of cold-induced thermogenesis
IRF4,immune system process
IRF4,positive regulation of interleukin-2 production
IRF4,regulation of T-helper cell differentiation
IRF4,defense response to protozoan
IRF4,T-helper 17 cell lineage commitment
IRF4,cis-regulatory region sequence-specific DNA binding
IRF4,transcription coactivator activity
IRF4,negative regulation of toll-like receptor signaling pathway
IRF4,myeloid dendritic cell differentiation
IRF4,positive regulation of DNA binding
IRF4,histone H3 acetylation
IRF4,histone H4 acetylation
IRF4,nucleosome
ITGB8,membrane
ITGB8,integral component of membrane
ITGB8,plasma membrane
ITGB8,cell adhesion
ITGB8,negative regulation of gene expression
ITGB8,integrin-mediated signaling pathway
ITGB8,cartilage development
ITGB8,cell surface
ITGB8,integrin complex
ITGB8,signaling receptor activity
ITGB8,extracellular exosome
ITGB8,positive regulation of gene expression
ITGB8,cell migration
ITGB8,focal adhesion
ITGB8,cell adhesion mediated by integrin
ITGB8,integrin binding
ITGB8,positive regulation of angiogenesis
ITGB8,vasculogenesis
ITGB8,cell-matrix adhesion
ITGB8,extracellular matrix protein binding
ITGB8,regulation of transforming growth factor beta activation
ITGB8,integrin alphav-beta8 complex
ITGB8,placenta blood vessel development
ITGB8,
ITGB8,signaling receptor binding
ITGB8,ganglioside metabolic process
ITGB8,immune response
ITGB8,transforming growth factor beta receptor signaling pathway
ITGB8,response to virus
ITGB8,hard palate development
ITGB8,Langerhans cell differentiation
ITSN2,
ITSN2,protein binding
ITSN2,guanyl-nucleotide exchange factor activity
ITSN2,calcium ion binding
ITSN2,cytoplasm
ITSN2,metal ion binding
ITSN2,presynapse
ITSN2,regulation of catalytic activity
ITSN2,cytosol
ITSN2,cell differentiation
ITSN2,endocytosis
ITSN2,extracellular exosome
ITSN2,molecular adaptor activity
ITSN2,endosomal transport
ITSN2,clathrin-coated pit
ITSN2,centrosome
ITSN2,positive regulation of dendrite extension
ITSN2,clathrin-dependent synaptic vesicle endocytosis
JAK2,ATP binding
JAK2,cytoskeleton
JAK2,protein kinase activity
JAK2,protein phosphorylation
JAK2,membrane
JAK2,nucleotide binding
JAK2,kinase activity
JAK2,transferase activity
JAK2,phosphorylation
JAK2,nucleoplasm
JAK2,plasma membrane
JAK2,intracellular signal transduction
JAK2,protein tyrosine kinase activity
JAK2,peptidyl-tyrosine phosphorylation
JAK2,focal adhesion
JAK2,endomembrane system
JAK2,non-membrane spanning protein tyrosine kinase activity
JAK2,histone binding
JAK2,cytokine-mediated signaling pathway
JAK2,regulation of cell adhesion
JAK2,adaptive immune response
JAK2,positive regulation of cell population proliferation
JAK2,
JAK2,cytoplasm
JAK2,nucleus
JAK2,metal ion binding
JAK2,signal transduction
JAK2,chromatin organization
JAK2,protein binding
JAK2,immune system process
JAK2,innate immune response
JAK2,regulation of multicellular organismal process
JAK2,signaling receptor binding
JAK2,identical protein binding
JAK2,heme binding
JAK2,protein autophosphorylation
JAK2,cytosol
JAK2,cell differentiation
JAK2,erythrocyte differentiation
JAK2,growth hormone receptor binding
JAK2,SH2 domain binding
JAK2,regulation of apoptotic process
JAK2,positive regulation of phosphatidylinositol 3-kinase signaling
JAK2,positive regulation of peptidyl-tyrosine phosphorylation
JAK2,endosome lumen
JAK2,response to lipopolysaccharide
JAK2,positive regulation of tumor necrosis factor production
JAK2,positive regulation of nitric-oxide synthase biosynthetic process
JAK2,immune response
JAK2,positive regulation of cold-induced thermogenesis
JAK2,receptor signaling pathway via JAK-STAT
JAK2,growth hormone receptor signaling pathway
JAK2,protein kinase binding
JAK2,response to tumor necrosis factor
JAK2,tumor necrosis factor-mediated signaling pathway
JAK2,negative regulation of cell population proliferation
JAK2,mesoderm development
JAK2,extrinsic apoptotic signaling pathway
JAK2,positive regulation of interleukin-1 beta production
JAK2,negative regulation of DNA binding
JAK2,positive regulation of platelet aggregation
JAK2,positive regulation of platelet activation
JAK2,response to antibiotic
JAK2,positive regulation of SMAD protein signal transduction
JAK2,cytokine receptor binding
JAK2,interleukin-12 receptor binding
JAK2,protein C-terminus binding
JAK2,type 1 angiotensin receptor binding
JAK2,acetylcholine receptor binding
JAK2,histone kinase activity (H3-Y41 specific)
JAK2,phosphatidylinositol 3-kinase binding
JAK2,insulin receptor substrate binding
JAK2,peptide hormone receptor binding
JAK2,microglial cell activation
JAK2,transcription by RNA polymerase II
JAK2,apoptotic process
JAK2,activation of cysteine-type endopeptidase activity involved in apoptotic process
JAK2,response to oxidative stress
JAK2,enzyme linked receptor protein signaling pathway
JAK2,G protein-coupled receptor signaling pathway
JAK2,positive regulation of cytosolic calcium ion concentration
JAK2,tyrosine phosphorylation of STAT protein
JAK2,intrinsic apoptotic signaling pathway in response to oxidative stress
JAK2,hormone-mediated signaling pathway
JAK2,negative regulation of cardiac muscle cell apoptotic process
JAK2,positive regulation of cell-substrate adhesion
JAK2,response to organic cyclic compound
JAK2,response to amine
JAK2,negative regulation of cell-cell adhesion
JAK2,actin filament polymerization
JAK2,myeloid cell differentiation
JAK2,positive regulation of cell migration
JAK2,axon regeneration
JAK2,mineralocorticoid receptor signaling pathway
JAK2,positive regulation of insulin secretion
JAK2,positive regulation of phosphoprotein phosphatase activity
JAK2,positive regulation of interferon-gamma production
JAK2,positive regulation of interleukin-17 production
JAK2,positive regulation of natural killer cell proliferation
JAK2,response to hydroperoxide
JAK2,programmed cell death induced by symbiont
JAK2,post-embryonic hemopoiesis
JAK2,interleukin-12-mediated signaling pathway
JAK2,cellular response to interleukin-3
JAK2,collagen-activated signaling pathway
JAK2,granulocyte-macrophage colony-stimulating factor signaling pathway
JAK2,positive regulation of T cell proliferation
JAK2,positive regulation of protein import into nucleus
JAK2,positive regulation of tyrosine phosphorylation of STAT protein
JAK2,activation of Janus kinase activity
JAK2,positive regulation of apoptotic process
JAK2,negative regulation of apoptotic process
JAK2,positive regulation of DNA binding
JAK2,positive regulation of MAPK cascade
JAK2,negative regulation of neuron apoptotic process
JAK2,post-translational protein modification
JAK2,positive regulation of MHC class II biosynthetic process
JAK2,regulation of nitric oxide biosynthetic process
JAK2,positive regulation of nitric oxide biosynthetic process
JAK2,positive regulation of cell differentiation
JAK2,negative regulation of heart contraction
JAK2,positive regulation of transcription by RNA polymerase II
JAK2,regulation of receptor signaling pathway via JAK-STAT
JAK2,positive regulation of receptor signaling pathway via JAK-STAT
JAK2,platelet-derived growth factor receptor signaling pathway
JAK2,regulation of inflammatory response
JAK2,positive regulation of inflammatory response
JAK2,modulation of chemical synaptic transmission
JAK2,positive regulation of cell activation
JAK2,positive regulation of DNA-binding transcription factor activity
JAK2,positive regulation of NK T cell proliferation
JAK2,interferon-gamma-mediated signaling pathway
JAK2,growth hormone receptor signaling pathway via JAK-STAT
JAK2,positive regulation of growth hormone receptor signaling pathway
JAK2,negative regulation of cell death
JAK2,mammary gland epithelium development
JAK2,interleukin-6-mediated signaling pathway
JAK2,positive regulation of leukocyte proliferation
JAK2,response to interleukin-12
JAK2,interleukin-35-mediated signaling pathway
JAK2,cellular response to lipopolysaccharide
JAK2,cellular response to dexamethasone stimulus
JAK2,activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway
JAK2,cellular response to virus
JAK2,postsynapse to nucleus signaling pathway
JAK2,positive regulation of growth factor dependent skeletal muscle satellite cell proliferation
JAK2,positive regulation of epithelial cell apoptotic process
JAK2,positive regulation of vascular associated smooth muscle cell proliferation
JAK2,positive regulation of signaling receptor activity
JAK2,positive regulation of T-helper 17 type immune response
JAK2,positive regulation of apoptotic signaling pathway
JAK2,granulocyte macrophage colony-stimulating factor receptor complex
JAK2,interleukin-12 receptor complex
JAK2,interleukin-23 receptor complex
JAK2,euchromatin
JAK2,nucleolus
JAK2,caveola
JAK2,membrane raft
JAK2,postsynapse
JAK2,glutamatergic synapse
JAZF1,nucleoplasm
JAZF1,cytosol
JAZF1,fibrillar center
JAZF1,negative regulation of transcription by RNA polymerase II
JAZF1,transcription corepressor activity
JAZF1,nucleus
JAZF1,metal ion binding
JAZF1,lipid metabolic process
JAZF1,protein binding
JAZF1,transcription repressor complex
JAZF1,
KCNQ1,membrane
KCNQ1,integral component of membrane
KCNQ1,plasma membrane
KCNQ1,ion transport
KCNQ1,voltage-gated ion channel activity
KCNQ1,voltage-gated potassium channel activity
KCNQ1,potassium channel activity
KCNQ1,potassium ion transport
KCNQ1,regulation of ion transmembrane transport
KCNQ1,potassium ion transmembrane transport
KCNQ1,voltage-gated potassium channel complex
KCNQ1,
KCNQ1,transmembrane transport
KCNQ1,ion channel activity
KCNQ1,cytoplasmic vesicle membrane
KCNQ1,cytoplasmic vesicle
KCNQ1,endoplasmic reticulum
KCNQ1,membrane raft
KCNQ1,basolateral plasma membrane
KCNQ1,lateral plasma membrane
KCNQ1,cytoplasm
KCNQ1,early endosome
KCNQ1,endosome
KCNQ1,protein binding
KCNQ1,calmodulin binding
KCNQ1,delayed rectifier potassium channel activity
KCNQ1,transmembrane transporter binding
KCNQ1,"phosphatidylinositol-4,5-bisphosphate binding"
KCNQ1,regulation of gastric acid secretion
KCNQ1,regulation of heart contraction
KCNQ1,renal absorption
KCNQ1,scaffold protein binding
KCNQ1,outward rectifier potassium channel activity
KCNQ1,late endosome
KCNQ1,cardiac muscle contraction
KCNQ1,regulation of membrane repolarization
KCNQ1,sensory perception of sound
KCNQ1,regulation of heart rate by cardiac conduction
KCNQ1,cellular response to cAMP
KCNQ1,positive regulation of potassium ion transmembrane transport
KCNQ1,regulation of ventricular cardiac muscle cell membrane repolarization
KCNQ1,inner ear development
KCNQ1,lysosome
KCNQ1,positive regulation of heart rate
KCNQ1,regulation of atrial cardiac muscle cell membrane repolarization
KCNQ1,positive regulation of cardiac muscle contraction
KCNQ1,membrane repolarization during cardiac muscle cell action potential
KCNQ1,protein kinase A catalytic subunit binding
KCNQ1,voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization
KCNQ1,voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization
KCNQ1,ventricular cardiac muscle cell action potential
KCNQ1,membrane repolarization during action potential
KCNQ1,potassium ion export across plasma membrane
KCNQ1,membrane repolarization during ventricular cardiac muscle cell action potential
KCNQ1,intestinal absorption
KCNQ1,atrial cardiac muscle cell action potential
KCNQ1,cellular response to epinephrine stimulus
KCNQ1,protein kinase A regulatory subunit binding
KCNQ1,voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization
KCNQ1,membrane repolarization during atrial cardiac muscle cell action potential
KCNQ1,protein phosphatase 1 binding
KCNQ1,gastric acid secretion
KCNQ1,gastrin-induced gastric acid secretion
KCNQ1,regulation of heart rate
KCNQ1,glucose metabolic process
KCNQ1,regulation of gene expression by genomic imprinting
KCNQ1,sodium ion transport
KCNQ1,heart development
KCNQ1,rhythmic behavior
KCNQ1,regulation of blood pressure
KCNQ1,gene expression
KCNQ1,negative regulation of gene expression
KCNQ1,iodide transport
KCNQ1,erythrocyte differentiation
KCNQ1,cellular chloride ion homeostasis
KCNQ1,regulation of transporter activity
KCNQ1,response to insulin
KCNQ1,response to nicotine
KCNQ1,social behavior
KCNQ1,corticosterone secretion
KCNQ1,inner ear morphogenesis
KCNQ1,detection of mechanical stimulus involved in sensory perception of sound
KCNQ1,chloride ion homeostasis
KCNQ1,potassium ion homeostasis
KCNQ1,auditory receptor cell development
KCNQ1,cardiac conduction
KCNQ1,stomach development
KCNQ1,renal sodium ion absorption
KCNQ1,cellular response to xenobiotic stimulus
KCNQ1,response to epinephrine
KCNQ1,adrenergic receptor signaling pathway
KCNQ1,circulatory system development
KCNQ1,membrane repolarization
KCNQ1,cochlea development
KCNQ1,regulation of voltage-gated sodium channel activity
KCNQ1,non-motile cilium assembly
KCNQ1,potassium ion import across plasma membrane
KCNQ1,cell surface
KCNQ1,apical plasma membrane
KCNQ1,transport vesicle
KCNQ1,ion channel complex
KCNQ1,potassium channel complex
KCNQ1,neuron projection
KCNQ1,neuronal cell body
KCNQ1,apical part of cell
KCNQ1,ciliary base
KCNQ1,basolateral part of cell
KCNQ1,negative regulation of voltage-gated potassium channel activity
KCNQ1,negative regulation of delayed rectifier potassium channel activity
KCNQ1,ion transmembrane transport
KCNQ1DN,molecular function
KEAP1,protein binding
KEAP1,protein ubiquitination
KEAP1,Cul3-RING ubiquitin ligase complex
KEAP1,nucleus
KEAP1,cytoplasm
KEAP1,nucleoplasm
KEAP1,cytosol
KEAP1,centriolar satellite
KEAP1,ubiquitin-dependent protein catabolic process
KEAP1,midbody
KEAP1,identical protein binding
KEAP1,disordered domain specific binding
KEAP1,in utero embryonic development
KEAP1,"regulation of transcription, DNA-templated"
KEAP1,regulation of autophagy
KEAP1,cellular response to oxidative stress
KEAP1,regulation of epidermal cell differentiation
KEAP1,cellular response to interleukin-4
KEAP1,endoplasmic reticulum
KEAP1,actin filament
KEAP1,inclusion body
KEAP1,protein-containing complex
KEAP1,RNA polymerase II-specific DNA-binding transcription factor binding
KEAP1,positive regulation of proteasomal ubiquitin-dependent protein catabolic process
KEAP1,negative regulation of DNA-binding transcription factor activity
KEAP1,cytoplasmic sequestering of transcription factor
KEAP1,
KIAA1109,membrane
KIAA1109,integral component of membrane
KIAA1109,nucleus
KIAA1109,presynapse
KIAA1109,protein binding
KIAA1109,phagocytosis
KIAA1109,endosomal transport
KIAA1109,endocytic recycling
KIAA1109,synaptic vesicle endocytosis
KIAA1109,regulation of cell growth
KIAA1109,regulation of epithelial cell differentiation
KIAA1109,
KIF17,
KIF17,ATP binding
KIF17,microtubule motor activity
KIF17,microtubule binding
KIF17,microtubule-based movement
KIF17,cytoplasm
KIF17,nucleotide binding
KIF17,cytoskeleton
KIF17,microtubule
KIF17,protein transport
KIF17,cilium
KIF17,cell projection
KIF17,dendrite cytoplasm
KIF17,dendrite
KIF17,ATP hydrolysis activity
KIF17,neuron projection
KIF17,cytosol
KIF17,microtubule organizing center
KIF17,kinesin complex
KIF17,plus-end-directed microtubule motor activity
KIF17,anterograde dendritic transport of neurotransmitter receptor complex
KIF17,microtubule-based process
KIF17,vesicle-mediated transport
KIF17,cell projection organization
KIF17,protein-containing complex localization
KIF17,photoreceptor outer segment
KIF17,photoreceptor inner segment
KIF17,axoneme
KIF17,microtubule cytoskeleton
KIF17,photoreceptor connecting cilium
KIF17,ciliary basal body
KIF17,periciliary membrane compartment
KLRG1,
KLRG1,membrane
KLRG1,integral component of membrane
KLRG1,intracellular membrane-bounded organelle
KLRG1,plasma membrane
KLRG1,carbohydrate binding
KLRG1,protein binding
KLRG1,immune system process
KLRG1,innate immune response
KLRG1,inflammatory response
KLRG1,signaling receptor activity
KLRG1,cell surface receptor signaling pathway
KLRG1,cellular defense response
LIF-AS1,
,
LINC00243,
LINC00320,
LINC00460,
LINC00892,
LINC01104,
LINC01149,
LINC01179,
LINC01250,
LINC01550,
LINC01845,
LINC02009,
LINC02225,
LINC02341,
LINC02357,
LINC02516,
LINC02539,
LINC02649,
LINC02694,
LINC02771,
LMO7,protein binding
LMO7,metal ion binding
LMO7,regulation of cell adhesion
LMO7,regulation of signaling
LMO7,nucleus
LMO7,cytoplasm
LMO7,protein ubiquitination
LMO7,focal adhesion
LMO7,nuclear envelope
LMO7,apical plasma membrane
LMO7,ubiquitin-protein transferase activity
LMO7,cell surface
LMO7,positive regulation of transcription by RNA polymerase II
LMO7,cytosol
LMO7,ubiquitin ligase complex
LMO7,
LMO7,protein C-terminus binding
LMO7,actinin binding
LMO7,nucleoplasm
LMO7,plasma membrane
LMO7,adherens junction
LMO7,membrane
LMO7,integral component of membrane
LPAR3,integral component of membrane
LPAR3,G protein-coupled receptor activity
LPAR3,G protein-coupled receptor signaling pathway
LPAR3,membrane
LPAR3,signal transduction
LPAR3,plasma membrane
LPAR3,protein binding
LPAR3,synapse
LPAR3,cytoplasm
LPAR3,lysophosphatidic acid receptor activity
LPAR3,adenylate cyclase-activating G protein-coupled receptor signaling pathway
LPAR3,integral component of plasma membrane
LPAR3,chemical synaptic transmission
LPAR3,lipid binding
LPAR3,positive regulation of cytosolic calcium ion concentration
LPAR3,regulation of metabolic process
LPAR3,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"
LPAR3,
LPAR3,gene expression
LPAR3,bleb assembly
LPAR3,positive regulation of MAPK cascade
LPAR3,collateral sprouting
LPAR3,positive regulation of collateral sprouting
LPAR3,axon
LRP1B,protein binding
LRP1B,calcium ion binding
LRP1B,membrane
LRP1B,integral component of membrane
LRP1B,endocytosis
LRP1B,plasma membrane
LRP1B,receptor complex
LRP1B,receptor-mediated endocytosis
LRP1B,low-density lipoprotein particle receptor activity
LRP1B,protein transport
LRP1B,
LRRK2,
LRRK2,protein binding
LRRK2,ATP binding
LRRK2,protein kinase activity
LRRK2,protein phosphorylation
LRRK2,cytoplasm
LRRK2,membrane
LRRK2,Golgi apparatus
LRRK2,cytoplasmic vesicle
LRRK2,intracellular membrane-bounded organelle
LRRK2,autophagy
LRRK2,nucleotide binding
LRRK2,protein serine/threonine kinase activity
LRRK2,kinase activity
LRRK2,transferase activity
LRRK2,phosphorylation
LRRK2,endoplasmic reticulum
LRRK2,endoplasmic reticulum membrane
LRRK2,cell projection
LRRK2,endosome
LRRK2,mitochondrion
LRRK2,mitochondrial inner membrane
LRRK2,GTP binding
LRRK2,hydrolase activity
LRRK2,mitochondrial matrix
LRRK2,mitochondrial outer membrane
LRRK2,cytosol
LRRK2,extracellular space
LRRK2,Golgi membrane
LRRK2,GTPase activator activity
LRRK2,cell differentiation
LRRK2,protein homodimerization activity
LRRK2,dendrite
LRRK2,protein serine kinase activity
LRRK2,lysosome
LRRK2,synapse
LRRK2,perikaryon
LRRK2,magnesium ion binding
LRRK2,axon
LRRK2,postsynapse
LRRK2,synaptic vesicle membrane
LRRK2,plasma membrane
LRRK2,identical protein binding
LRRK2,protein autophosphorylation
LRRK2,neuron projection morphogenesis
LRRK2,signal transduction
LRRK2,regulation of membrane potential
LRRK2,protein localization to endoplasmic reticulum exit site
LRRK2,endoplasmic reticulum exit site
LRRK2,positive regulation of autophagy
LRRK2,regulation of signal transduction
LRRK2,positive regulation of protein ubiquitination
LRRK2,extracellular exosome
LRRK2,SNARE binding
LRRK2,protein serine/threonine phosphatase activity
LRRK2,Golgi organization
LRRK2,transmembrane transporter binding
LRRK2,MAPK cascade
LRRK2,regulation of protein stability
LRRK2,GTPase activity
LRRK2,clathrin binding
LRRK2,calcium-mediated signaling
LRRK2,mitochondrion organization
LRRK2,positive regulation of protein kinase activity
LRRK2,positive regulation of protein phosphorylation
LRRK2,neuromuscular junction development
LRRK2,positive regulation of proteasomal ubiquitin-dependent protein catabolic process
LRRK2,canonical Wnt signaling pathway
LRRK2,growth cone
LRRK2,neuron projection
LRRK2,endoplasmic reticulum organization
LRRK2,JNK cascade
LRRK2,terminal bouton
LRRK2,regulation of neuron death
LRRK2,small GTPase binding
LRRK2,peptidyl-serine phosphorylation
LRRK2,negative regulation of hydrogen peroxide-induced cell death
LRRK2,peptidyl-threonine phosphorylation
LRRK2,cellular response to oxidative stress
LRRK2,negative regulation of neuron death
LRRK2,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
LRRK2,actin binding
LRRK2,positive regulation of protein binding
LRRK2,regulation of canonical Wnt signaling pathway
LRRK2,cellular response to manganese ion
LRRK2,regulation of synaptic vesicle transport
LRRK2,cellular response to dopamine
LRRK2,regulation of dendritic spine morphogenesis
LRRK2,neuronal cell body
LRRK2,Wnt signalosome
LRRK2,protein kinase A binding
LRRK2,dendrite cytoplasm
LRRK2,co-receptor binding
LRRK2,negative regulation of protein binding
LRRK2,negative regulation of protein targeting to mitochondrion
LRRK2,response to oxidative stress
LRRK2,positive regulation of programmed cell death
LRRK2,membrane raft
LRRK2,tubulin binding
LRRK2,determination of adult lifespan
LRRK2,regulation of autophagy
LRRK2,microtubule binding
LRRK2,regulation of mitochondrial fission
LRRK2,cellular response to starvation
LRRK2,excitatory postsynaptic potential
LRRK2,GTP metabolic process
LRRK2,regulation of synaptic vesicle exocytosis
LRRK2,syntaxin-1 binding
LRRK2,"regulation of synaptic transmission, glutamatergic"
LRRK2,positive regulation of MAP kinase activity
LRRK2,negative regulation of macroautophagy
LRRK2,positive regulation of dopamine receptor signaling pathway
LRRK2,inclusion body
LRRK2,negative regulation of protein processing
LRRK2,intracellular signal transduction
LRRK2,mitochondrial membrane
LRRK2,regulation of ER to Golgi vesicle-mediated transport
LRRK2,endocytosis
LRRK2,negative regulation of autophagosome assembly
LRRK2,amphisome
LRRK2,autolysosome
LRRK2,positive regulation of canonical Wnt signaling pathway
LRRK2,beta-catenin destruction complex binding
LRRK2,negative regulation of GTPase activity
LRRK2,JUN kinase kinase kinase activity
LRRK2,MAP kinase kinase kinase activity
LRRK2,signaling receptor complex adaptor activity
LRRK2,GTP-dependent protein kinase activity
LRRK2,peroxidase inhibitor activity
LRRK2,negative regulation of protein phosphorylation
LRRK2,protein import into nucleus
LRRK2,lysosome organization
LRRK2,spermatogenesis
LRRK2,protein localization
LRRK2,regulation of gene expression
LRRK2,regulation of protein kinase A signaling
LRRK2,negative regulation of neuron projection development
LRRK2,regulation of neuron maturation
LRRK2,striatum development
LRRK2,olfactory bulb development
LRRK2,tangential migration from the subventricular zone to the olfactory bulb
LRRK2,positive regulation of tumor necrosis factor production
LRRK2,regulation of kidney size
LRRK2,exploration behavior
LRRK2,locomotory exploration behavior
LRRK2,regulation of lysosomal lumen pH
LRRK2,regulation of locomotion
LRRK2,intracellular distribution of mitochondria
LRRK2,mitochondrion localization
LRRK2,positive regulation of nitric-oxide synthase biosynthetic process
LRRK2,regulation of mitochondrial depolarization
