Gene name	GO domain	GO term name	GO term definition	GO term accession 
IL7R	biological_process	defense response to Gram-positive bacterium	Reactions triggered in response to the presence of a Gram-positive bacterium that act to protect the cell or organism.	GO:0050830
IL7R	biological_process	negative regulation of T cell apoptotic process	Any process that stops, prevents, or reduces the frequency, rate or extent of T cell death by apoptotic process.	GO:0070233
IL7R	biological_process	positive regulation of receptor signaling pathway via STAT	Any process that activates or increases the frequency, rate or extent of receptor signaling pathway via STAT.	GO:1904894
INPP5B	biological_process	in utero embryonic development	The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus.	GO:0001701
INPP5B	molecular_function	catalytic activity	Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.	GO:0003824
INPP5B	molecular_function	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	Catalysis of the reaction: 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + H(2)O = 1-phosphatidyl-1D-myo-inositol 4-phosphate + phosphate.	GO:0004439
INPP5B	molecular_function	protein binding	Binding to a protein.	GO:0005515
INPP5B	cellular_component	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	GO:0005737
INPP5B	cellular_component	endosome	A vacuole to which materials ingested by endocytosis are delivered.	GO:0005768
INPP5B	cellular_component	endoplasmic reticulum-Golgi intermediate compartment	A complex system of membrane-bounded compartments located between endoplasmic reticulum (ER) and the Golgi complex, with a distinctive membrane protein composition; involved in ER-to-Golgi  and Golgi-to-ER transport.	GO:0005793
INPP5B	cellular_component	Golgi apparatus	A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways.	GO:0005794
INPP5B	cellular_component	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.	GO:0005829
INPP5B	cellular_component	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	GO:0005886
INPP5B	biological_process	lipid metabolic process	The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.	GO:0006629
INPP5B	biological_process	signal transduction	The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.	GO:0007165
INPP5B	biological_process	spermatogenesis	The developmental process by which male germ line stem cells self renew or give rise to successive cell types resulting in the development of a spermatozoa.	GO:0007283
INPP5B	cellular_component	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	GO:0016020
INPP5B	molecular_function	hydrolase activity	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc.	GO:0016787
INPP5B	molecular_function	phosphatase activity	Catalysis of the hydrolysis of phosphoric monoesters, releasing inorganic phosphate.	GO:0016791
INPP5B	biological_process	organophosphate metabolic process	The chemical reactions and pathways involving organophosphates, any phosphate-containing organic compound.	GO:0019637
INPP5B	biological_process	flagellated sperm motility	The directed, self-propelled movement of a cilium (aka flagellum) that contributes to the movement of a flagellated sperm.	GO:0030317
INPP5B	cellular_component	phagocytic vesicle membrane	The lipid bilayer surrounding a phagocytic vesicle.	GO:0030670
INPP5B	cellular_component	cytoplasmic vesicle	A vesicle found in the cytoplasm of a cell.	GO:0031410
INPP5B	cellular_component	early endosome membrane	The lipid bilayer surrounding an early endosome.	GO:0031901
INPP5B	biological_process	inositol phosphate metabolic process	The chemical reactions and pathways involving inositol phosphate, 1,2,3,4,5,6-cyclohexanehexol, with one or more phosphate groups attached.	GO:0043647
INPP5B	biological_process	inositol phosphate dephosphorylation	The process of removing a phosphate group from any mono- or polyphosphorylated inositol.	GO:0046855
INPP5B	biological_process	phosphatidylinositol dephosphorylation	The process of removing one or more phosphate groups from a phosphatidylinositol.	GO:0046856
INPP5B	molecular_function	metal ion binding	Binding to a metal ion.	GO:0046872
INPP5B	molecular_function	inositol-1,4,5-trisphosphate 5-phosphatase activity	Catalysis of the reaction: 1D-myo-inositol 1,4,5-trisphosphate + H2O = 1D-myo-inositol 1,4-bisphosphate + phosphate.	GO:0052658
INPP5B	molecular_function	inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity	Catalysis of the reaction: 1D-myo-inositol 1,3,4,5-tetrakisphosphate + H2O = 1D-myo-inositol 1,3,4-trisphosphate + phosphate.	GO:0052659
INPP5B	molecular_function	inositol phosphate phosphatase activity	Catalysis of the reaction: inositol phosphate(n) + H2O = inositol phosphate(n-1) + phosphate. This reaction is the removal of a phosphate group from an inositol phosphate.	GO:0052745
INPP5B	biological_process	regulation of protein processing	Any process that modulates the frequency, rate or extent of protein processing, a protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein.	GO:0070613
INS	cellular_component	Golgi membrane	The lipid bilayer surrounding any of the compartments of the Golgi apparatus.	GO:0000139
INS	biological_process	positive regulation of cytokine production	Any process that activates or increases the frequency, rate or extent of production of a cytokine.	GO:0001819
INS	molecular_function	protease binding	Binding to a protease or a peptidase.	GO:0002020
INS	biological_process	negative regulation of acute inflammatory response	Any process that stops, prevents, or reduces the frequency, rate, or extent of an acute inflammatory response.	GO:0002674
INS	molecular_function	insulin receptor binding	Binding to an insulin receptor.	GO:0005158
INS	molecular_function	insulin-like growth factor receptor binding	Binding to an insulin-like growth factor receptor.	GO:0005159
INS	molecular_function	hormone activity	The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process.	GO:0005179
INS	molecular_function	protein binding	Binding to a protein.	GO:0005515
INS	cellular_component	extracellular region	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.	GO:0005576
INS	cellular_component	extracellular space	That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.	GO:0005615
INS	cellular_component	endoplasmic reticulum lumen	The volume enclosed by the membranes of the endoplasmic reticulum.	GO:0005788
INS	cellular_component	Golgi lumen	The volume enclosed by the membranes of any cisterna or subcompartment of the Golgi apparatus, including the cis- and trans-Golgi networks.	GO:0005796
INS	biological_process	carbohydrate metabolic process	The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y.	GO:0005975
INS	biological_process	glucose metabolic process	The chemical reactions and pathways involving glucose, the aldohexose gluco-hexose. D-glucose is dextrorotatory and is sometimes known as dextrose; it is an important source of energy for living organisms and is found free as well as combined in homo- and hetero-oligosaccharides and polysaccharides.	GO:0006006
INS	biological_process	regulation of DNA-templated transcription	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.	GO:0006355
INS	biological_process	regulation of cellular amino acid metabolic process	Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving amino acids.	GO:0006521
INS	biological_process	acute-phase response	An acute inflammatory response that involves non-antibody proteins whose concentrations in the plasma increase in response to infection or injury of homeothermic animals.	GO:0006953
INS	biological_process	signal transduction	The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.	GO:0007165
INS	biological_process	G protein-coupled receptor signaling pathway	The series of molecular signals initiated by a ligand binding to its receptor, in which the  activated receptor promotes the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, and ends with regulation of a downstream cellular process.  The pathway can start from the plasma membrane, Golgi or nuclear membrane.	GO:0007186
INS	biological_process	cell-cell signaling	Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell.  Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions.	GO:0007267
INS	biological_process	positive regulation of cell population proliferation	Any process that activates or increases the rate or extent of cell proliferation.	GO:0008284
INS	biological_process	insulin receptor signaling pathway	The series of molecular signals generated as a consequence of the insulin receptor binding to insulin.	GO:0008286
INS	biological_process	positive regulation of gene expression	Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA).	GO:0010628
INS	biological_process	negative regulation of gene expression	Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA).	GO:0010629
INS	biological_process	positive regulation of nitric oxide mediated signal transduction	Any process that increases the rate, frequency or extent of nitric oxide mediated signal transduction. Nitric oxide mediated signal transduction is The series of molecular signals mediated by the detection of nitric oxide (NO).	GO:0010750
INS	biological_process	positive regulation of phosphatidylinositol 3-kinase signaling	Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the phosphatidylinositol 3-kinase cascade.	GO:0014068
INS	biological_process	regulation of transmembrane transporter activity	Any process that modulates the frequency, rate or extent of transmembrane transporter activity.	GO:0022898
INS	cellular_component	transport vesicle	Any of the vesicles of the constitutive secretory pathway, which carry cargo from the endoplasmic reticulum to the Golgi, between Golgi cisternae, from the Golgi to the ER (retrograde transport) or to destinations within or outside the cell.	GO:0030133
INS	biological_process	positive regulation of cell growth	Any process that activates or increases the frequency, rate, extent or direction of cell growth.	GO:0030307
INS	biological_process	positive regulation of cell migration	Any process that activates or increases the frequency, rate or extent of cell migration.	GO:0030335
INS	cellular_component	endosome lumen	The volume enclosed by the membrane of an endosome.	GO:0031904
INS	biological_process	positive regulation of protein autophosphorylation	Any process that activates or increases the frequency, rate or extent of the phosphorylation by a protein of one or more of its own residues.	GO:0031954
INS	biological_process	activation of protein kinase B activity	Any process that initiates the activity of the inactive enzyme protein kinase B.	GO:0032148
INS	biological_process	regulation of protein localization	Any process that modulates the frequency, rate or extent of any process in which a protein is transported to, or maintained in, a specific location.	GO:0032880
INS	cellular_component	endoplasmic reticulum-Golgi intermediate compartment membrane	The lipid bilayer surrounding any of the compartments of the endoplasmic reticulum (ER)-Golgi intermediate compartment system.	GO:0033116
INS	biological_process	negative regulation of NAD(P)H oxidase activity	Any process that stops or reduces the activity of the enzyme NAD(P)H oxidase.	GO:0033861
INS	cellular_component	secretory granule lumen	The volume enclosed by the membrane of a secretory granule.	GO:0034774
INS	biological_process	nitric oxide-cGMP-mediated signaling pathway	Any intracellular signal transduction in which the signal is passed on within the cell by nitric oxide (NO) activating soluble guanylyl cyclase (sGC). Includes synthesis of nitric oxide, guanylyl cyclase activity, and downstream effectors that further transmit the signal within the cell following activation by cGMP.	GO:0038060
INS	biological_process	wound healing	The series of events that restore integrity to a damaged tissue, following an injury.	GO:0042060
INS	biological_process	negative regulation of protein catabolic process	Any process that stops, prevents or reduces the frequency, rate or extent of protein catabolic process.	GO:0042177
INS	biological_process	vasodilation	An increase in the internal diameter of blood vessels, especially arterioles or capillaries, due to relaxation of smooth muscle cells that line the vessels, and usually resulting in a decrease in blood pressure.	GO:0042311
INS	biological_process	glucose homeostasis	Any process involved in the maintenance of an internal steady state of glucose within an organism or cell.	GO:0042593
INS	molecular_function	identical protein binding	Binding to an identical protein or proteins.	GO:0042802
INS	biological_process	positive regulation of MAPK cascade	Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the MAPK cascade.	GO:0043410
INS	biological_process	positive regulation of cell differentiation	Any process that activates or increases the frequency, rate or extent of cell differentiation.	GO:0045597
INS	biological_process	negative regulation of gluconeogenesis	Any process that stops, prevents, or reduces the frequency, rate or extent of gluconeogenesis.	GO:0045721
INS	biological_process	positive regulation of glycogen biosynthetic process	Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of glycogen.	GO:0045725
INS	biological_process	negative regulation of glycogen catabolic process	Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of glycogen.	GO:0045818
INS	biological_process	positive regulation of glycolytic process	Any process that activates or increases the frequency, rate or extent of glycolysis.	GO:0045821
INS	biological_process	positive regulation of mitotic nuclear division	Any process that activates or increases the frequency, rate or extent of mitosis.	GO:0045840
INS	biological_process	negative regulation of proteolysis	Any process that stops, prevents, or reduces the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein.	GO:0045861
INS	biological_process	negative regulation of fatty acid metabolic process	Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving fatty acids.	GO:0045922
INS	biological_process	positive regulation of glucose import	Any process that activates or increases the frequency, rate or extent of the import of the hexose monosaccharide glucose into a cell or organelle.	GO:0046326
INS	biological_process	positive regulation of insulin receptor signaling pathway	Any process that increases the frequency, rate or extent of insulin receptor signaling.	GO:0046628
INS	biological_process	alpha-beta T cell activation	The change in morphology and behavior of an alpha-beta T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific.	GO:0046631
INS	biological_process	positive regulation of lipid biosynthetic process	Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of lipids.	GO:0046889
INS	biological_process	regulation of synaptic plasticity	A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers.	GO:0048167
INS	biological_process	regulation of protein secretion	Any process that modulates the frequency, rate or extent of the controlled release of a protein from a cell.	GO:0050708
INS	biological_process	negative regulation of protein secretion	Any process that stops, prevents, or reduces the frequency, rate or extent of the controlled release of a protein from a cell.	GO:0050709
INS	biological_process	positive regulation of protein secretion	Any process that activates or increases the frequency, rate or extent of the controlled release of a protein from a cell.	GO:0050714
INS	biological_process	cognition	The operation of the mind by which an organism becomes aware of objects of thought or perception; it includes the mental activities associated with thinking, learning, and memory.	GO:0050890
INS	biological_process	negative regulation of lipid catabolic process	Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of lipids.	GO:0050995
INS	biological_process	positive regulation of nitric-oxide synthase activity	Any process that activates or increases the activity of the enzyme nitric-oxide synthase.	GO:0051000
INS	biological_process	positive regulation of NF-kappaB transcription factor activity	Any process that activates or increases the frequency, rate or extent of activity of the transcription factor NF-kappaB.	GO:0051092
INS	biological_process	positive regulation of protein metabolic process	Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein.	GO:0051247
INS	biological_process	positive regulation of protein kinase B signaling	Any process that activates or increases the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B.	GO:0051897
INS	biological_process	fatty acid homeostasis	Any process involved in the maintenance of an internal steady state of fatty acid within an organism or cell.	GO:0055089
INS	biological_process	negative regulation of respiratory burst involved in inflammatory response	Any process that decreases the rate, frequency or extent of a phase of elevated metabolic activity, during which oxygen consumption increases made as a defense response ; this leads to the production, by an NADH dependent system, of hydrogen peroxide (H2O2), superoxide anions and hydroxyl radicals.	GO:0060266
INS	biological_process	positive regulation of respiratory burst	Any process that increases the rate frequency or extent of a phase of elevated metabolic activity, during which oxygen consumption increases; this leads to the production, by an NADH dependent system, of hydrogen peroxide (H2O2), superoxide anions and hydroxyl radicals.	GO:0060267
INS	biological_process	positive regulation of peptide hormone secretion	Any process that increases the rate, frequency, or extent of the regulated release of a peptide hormone from secretory granules.	GO:0090277
INS	biological_process	positive regulation of brown fat cell differentiation	Any process that increases the rate, frequency, or extent of brown fat cell differentiation. Brown fat cell differentiation is the process in which a relatively unspecialized cell acquires specialized features of a brown adipocyte, an animal connective tissue cell involved in adaptive thermogenesis. Brown adipocytes contain multiple small droplets of triglycerides and a high number of mitochondria.	GO:0090336
INS	biological_process	positive regulation of protein localization to nucleus	Any process that activates or increases the frequency, rate or extent of protein localization to nucleus.	GO:1900182
INS	biological_process	positive regulation of long-term synaptic potentiation	Any process that activates or increases the frequency, rate or extent of long-term synaptic potentiation.	GO:1900273
INS	biological_process	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	Any process that stops, prevents or reduces the frequency, rate or extent of an oxidative stress-induced intrinsic apoptotic signaling pathway.	GO:1902176
INS	biological_process	positive regulation of dendritic spine maintenance	Any process that activates or increases the frequency, rate or extent of dendritic spine maintenance.	GO:1902952
INS	biological_process	regulation of protein localization to plasma membrane	Any process that modulates the frequency, rate or extent of protein localization to plasma membrane.	GO:1903076
INS	biological_process	negative regulation of reactive oxygen species biosynthetic process	Any process that stops, prevents or reduces the frequency, rate or extent of reactive oxygen species biosynthetic process.	GO:1903427
INS	biological_process	response to L-arginine	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a L-arginine stimulus.	GO:1903576
INS	biological_process	neuron projection maintenance	The organization process that preserves a neuron projection in a stable functional or structural state. A neuron projection is a prolongation or process extending from a nerve cell, e.g. an axon or dendrite.	GO:1990535
INS	biological_process	negative regulation of feeding behavior	Any process that stops, prevents or reduces the frequency, rate or extent of feeding behavior.	GO:2000252
INS-IGF2	molecular_function	hormone activity	The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process.	GO:0005179
INS-IGF2	cellular_component	extracellular region	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.	GO:0005576
INS-IGF2	cellular_component	extracellular space	That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.	GO:0005615
INS-IGF2	biological_process	signal transduction	The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.	GO:0007165
IRF1	cellular_component	chromatin	The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.	GO:0000785
IRF1	molecular_function	transcription cis-regulatory region binding	Binding to a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon.	GO:0000976
IRF1	molecular_function	RNA polymerase II transcription regulatory region sequence-specific DNA binding	Binding to a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II.	GO:0000977
IRF1	molecular_function	RNA polymerase II cis-regulatory region sequence-specific DNA binding	Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II.	GO:0000978
IRF1	molecular_function	DNA-binding transcription factor activity, RNA polymerase II-specific	A DNA-binding transcription factor activity that modulates the transcription of specific gene sets transcribed by RNA polymerase II.	GO:0000981
IRF1	molecular_function	DNA-binding transcription activator activity, RNA polymerase II-specific	A DNA-binding transcription factor activity that activates or increases transcription of specific gene sets transcribed by RNA polymerase II.	GO:0001228
IRF1	biological_process	immune system process	Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats.	GO:0002376
IRF1	biological_process	regulation of adaptive immune response	Any process that modulates the frequency, rate, or extent of an adaptive immune response.	GO:0002819
IRF1	molecular_function	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	GO:0003677
IRF1	molecular_function	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	GO:0003700
IRF1	molecular_function	protein binding	Binding to a protein.	GO:0005515
IRF1	cellular_component	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	GO:0005634
IRF1	cellular_component	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus.	GO:0005654
IRF1	cellular_component	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	GO:0005737
IRF1	cellular_component	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.	GO:0005829
IRF1	biological_process	DNA-templated transcription	The synthesis of an RNA transcript from a DNA template.	GO:0006351
IRF1	biological_process	regulation of DNA-templated transcription	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.	GO:0006355
IRF1	biological_process	regulation of transcription by RNA polymerase II	Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II.	GO:0006357
IRF1	biological_process	transcription by RNA polymerase II	The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs).	GO:0006366
IRF1	biological_process	apoptotic process	A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died.	GO:0006915
IRF1	biological_process	negative regulation of cell population proliferation	Any process that stops, prevents or reduces the rate or extent of cell proliferation.	GO:0008285
IRF1	biological_process	regulation of gene expression	Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA).	GO:0010468
IRF1	biological_process	positive regulation of type I interferon production	Any process that activates or increases the frequency, rate, or extent of type I interferon production. Type I interferons include the interferon-alpha, beta, delta, episilon, zeta, kappa, tau, and omega gene families.	GO:0032481
IRF1	biological_process	positive regulation of interferon-beta production	Any process that activates or increases the frequency, rate, or extent of interferon-beta production.	GO:0032728
IRF1	biological_process	positive regulation of interleukin-12 production	Any process that activates or increases the frequency, rate, or extent of interleukin-12 production.	GO:0032735
IRF1	biological_process	regulation of MyD88-dependent toll-like receptor signaling pathway	Any process that modulates the frequency, rate, or extent of MyD88-dependent toll-like receptor signaling pathway.	GO:0034124
IRF1	biological_process	cellular response to interferon-beta	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-beta stimulus. Interferon-beta is a type I interferon.	GO:0035458
IRF1	biological_process	CD8-positive, alpha-beta T cell differentiation	The process in which a relatively unspecialized T cell acquires specialized features of a mature CD8-positive, alpha-beta T cell.	GO:0043374
IRF1	molecular_function	sequence-specific DNA binding	Binding to DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.	GO:0043565
IRF1	biological_process	innate immune response	Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens.	GO:0045087
IRF1	biological_process	regulation of innate immune response	Any process that modulates the frequency, rate or extent of the innate immune response, the organism's first line of defense against infection.	GO:0045088
IRF1	biological_process	negative regulation of regulatory T cell differentiation	Any process that stops, prevents, or reduces the rate of differentiation of regulatory T cells.	GO:0045590
IRF1	biological_process	negative regulation of DNA-templated transcription	Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription.	GO:0045892
IRF1	biological_process	positive regulation of DNA-templated transcription	Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription.	GO:0045893
IRF1	biological_process	positive regulation of transcription by RNA polymerase II	Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter.	GO:0045944
IRF1	biological_process	regulation of immune response	Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus.	GO:0050776
IRF1	biological_process	defense response to virus	Reactions triggered in response to the presence of a virus that act to protect the cell or organism.	GO:0051607
IRF1	biological_process	regulation of cell cycle	Any process that modulates the rate or extent of progression through the cell cycle.	GO:0051726
IRF1	biological_process	interferon-gamma-mediated signaling pathway	The series of molecular signals initiated by interferon-gamma binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. Interferon gamma is the only member of the type II interferon found so far.	GO:0060333
IRF1	biological_process	cellular response to mechanical stimulus	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mechanical stimulus.	GO:0071260
IRF1	molecular_function	sequence-specific double-stranded DNA binding	Binding to double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding.	GO:1990837
IRF1	biological_process	regulation of CD8-positive, alpha-beta T cell proliferation	Any process that modulates the frequency, rate or extent of CD8-positive, alpha-beta T cell proliferation.	GO:2000564
IRF4	cellular_component	chromatin	The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.	GO:0000785
IRF4	cellular_component	nucleosome	A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.	GO:0000786
IRF4	molecular_function	transcription cis-regulatory region binding	Binding to a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon.	GO:0000976
IRF4	molecular_function	RNA polymerase II cis-regulatory region sequence-specific DNA binding	Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II.	GO:0000978
IRF4	molecular_function	DNA-binding transcription factor activity, RNA polymerase II-specific	A DNA-binding transcription factor activity that modulates the transcription of specific gene sets transcribed by RNA polymerase II.	GO:0000981
IRF4	molecular_function	cis-regulatory region sequence-specific DNA binding	Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by some RNA polymerase. The proximal promoter is in cis with and relatively close to the core promoter.	GO:0000987
